Name,Position,Team,Opponent,Projection,Proj Ratio,Ceiling,Ceiling Ratio,Salary
Jacory Croskey-Me...,RB,WAS,ATL,9.2,1.7,14.3,2.6,5500
Khalil Shakir,WR,BUF,NO,9.1,1.5,16.5,2.8,5900
Marquise Brown,WR,KC,BAL,9.1,1.5,16.4,2.8,5900
Darnell Mooney,WR,ATL,WAS,9.1,1.6,16.4,2.9,5700
Tre Tucker,WR,LV,CHI,9.0,1.5,17.9,3.0,6000
Christian Kirk,WR,HOU,TEN,9.0,1.6,16.3,3.0,5500
Juwan Johnson,TE,NO,BUF,9.0,1.6,11.2,2.0,5700
Josh Downs,WR,IND,LAR,9.0,1.8,14.6,2.9,5100
Parker Washington,WR,JAX,SF,8.9,1.7,14.4,2.8,5100
Sam LaPorta,TE,DET,CLE,8.8,1.5,11.7,1.9,6000
Kendrick Bourne,WR,NE,CAR,8.8,1.8,14.2,2.8,5000
Stefon Diggs,WR,NE,CAR,8.6,1.5,15.5,2.8,5600
Dalton Kincaid,TE,BUF,NO,8.5,1.5,11.2,2.0,5600
Cedric Tillman,WR,CLE,DET,8.4,1.6,15.3,2.9,5300
DeAndre Hopkins,WR,BAL,KC,8.4,1.5,15.3,2.8,5500
Rashid Shaheed,WR,NO,BUF,8.4,1.5,15.3,2.8,5500
HOU,DEF,HOU,TEN,8.4,1.9,7.7,1.7,4400
Hunter Renfrow,WR,CAR,NE,8.4,1.6,15.2,3.0,5100
Chris Godwin,WR,TB,PHI,8.3,1.4,16.7,2.7,6100
Kayshon Boutte,WR,NE,CAR,8.0,1.5,14.6,2.8,5200
Kareem Hunt,RB,KC,BAL,8.0,1.5,12.7,2.5,5200
David Njoku,TE,CLE,DET,7.9,1.5,11.7,2.2,5400
Hunter Henry,TE,NE,CAR,7.8,1.4,11.6,2.1,5500
Zach Ertz,TE,WAS,ATL,7.7,1.5,10.0,2.0,5000
Kyle Pitts Sr.,TE,ATL,WAS,7.5,1.4,11.2,2.2,5200
Tyquan Thornton,WR,KC,BAL,7.4,1.4,15.3,2.8,5400
Rashod Bateman,WR,BAL,KC,7.3,1.3,15.5,2.8,5600
DET,DEF,DET,CLE,7.2,1.5,8.1,1.7,4900
Brenton Strange,TE,JAX,SF,7.1,1.4,10.5,2.1,5100
Mark Andrews,TE,BAL,KC,7.1,1.3,10.5,2.0,5300
LAC,DEF,LAC,NYG,7.0,1.8,7.6,1.9,4000
NE,DEF,NE,CAR,7.0,1.6,7.6,1.8,4300
Dallas Goedert,TE,PHI,TB,6.8,1.3,10.2,2.0,5100
Elic Ayomanor,WR,TEN,HOU,6.8,1.3,15.2,2.8,5400
Dalton Schultz,TE,HOU,TEN,6.7,1.3,10.0,2.0,5000
Sterling Shepard,WR,TB,PHI,6.7,1.3,15.0,2.8,5300
SF,DEF,SF,JAX,6.5,1.5,7.5,1.8,4200
Olamide Zaccheaus,WR,CHI,LV,6.5,1.3,15.4,3.1,5000
PHI,DEF,PHI,TB,6.4,1.6,7.6,1.9,4100
LAR,DEF,LAR,IND,6.3,1.6,7.2,1.9,3900
Joshua Palmer,WR,BUF,NO,6.2,1.2,14.9,2.9,5200
IND,DEF,IND,LAR,5.8,1.2,7.9,1.7,4700
Bhayshul Tuten,RB,JAX,SF,5.8,1.1,10.1,2.0,5200
WAS,DEF,WAS,ATL,5.8,1.3,7.8,1.7,4600
BAL,DEF,BAL,KC,5.7,1.3,7.8,1.7,4500
KC,DEF,KC,BAL,5.6,1.5,7.6,2.1,3600
CHI,DEF,CHI,LV,5.3,1.4,7.2,1.9,3700
JAX,DEF,JAX,SF,5.3,1.4,7.1,1.9,3800
ATL,DEF,ATL,WAS,5.2,1.5,7.0,2.1,3400
Travis Hunter,WR,JAX,SF,5.2,1.0,14.9,2.8,5300
TEN,DEF,TEN,HOU,5.1,1.4,6.9,2.0,3500
Jeremy McNichols,RB,WAS,ATL,5.0,0.9,14.1,2.6,5400
Justice Hill,RB,BAL,KC,4.9,0.9,14.0,2.6,5300
Rachaad White,RB,TB,PHI,4.9,0.9,8.1,1.5,5300
JuJu Smith-Schust...,WR,KC,BAL,4.7,0.8,15.7,2.8,5600
Demarcus Robinson,WR,SF,JAX,4.3,0.8,15.1,3.0,5100
LV,DEF,LV,CHI,4.1,1.2,7.5,2.3,3300
Antonio Gibson,RB,NE,CAR,4.0,0.8,6.4,1.3,5100
CAR,DEF,CAR,NE,3.9,1.2,6.8,2.1,3200
TB,DEF,TB,PHI,3.7,1.2,6.6,2.1,3100
NYG,DEF,NYG,LAC,3.7,1.2,6.6,2.1,3100
NO,DEF,NO,BUF,3.5,1.2,6.6,2.2,3000
CLE,DEF,CLE,DET,3.5,1.2,6.8,2.3,3000
Kyle Monangai,RB,CHI,LV,3.0,0.6,7.4,1.5,5000
Dylan Sampson,RB,CLE,DET,3.0,0.6,6.2,1.2,5100
