Name,Position,Team,Opponent,Projection,Proj Ratio,Ceiling,Ceiling Ratio,Salary
Brian Thomas Jr. ,WR,JAX,HOU,14.3,1.9,21.7,2.9,7400
Drake London,WR,ATL,CAR,11.9,1.6,21.8,3.0,7300
Tee Higgins ,WR,CIN,MIN,10.7,1.5,20.3,2.8,7200
Spencer Rattler,QB,NO,SEA,13.7,2.1,19,2.9,6600
Davante Adams ,WR,LAR,PHI,12.9,1.8,19.2,2.7,7100
Travis Etienne Jr. ,RB,JAX,HOU,12.0,1.7,20.5,2.9,7000
Breece Hall ,RB,NYJ,TB,14.2,2.1,19.3,2.8,6900
Ashton Jeanty,RB,LV,WAS,13.3,2.0,19.3,2.8,6800
Chuba Hubbard ,RB,CAR,ATL,13.5,2.0,18.7,2.8,6700
A.J. Brown ,WR,PHI,LAR,10.7,1.5,20.7,3.0,7000
Kenneth Walker III ,RB,SEA,NO,12.9,1.9,19.5,3.0,6600
D'Andre Swift,RB,CHI,DAL,12.4,1.9,19.2,3.0,6500
Garrett Wilson ,WR,NYJ,TB,11.7,1.7,19.3,2.8,6900
DK Metcalf ,WR,PIT,NE,12.6,1.9,19.8,2.9,6800
Deebo Samuel Sr. ,WR,WAS,LV,13.0,1.9,19.7,2.9,6700
J.K. Dobbins ,RB,DEN,LAC,11.8,1.8,18.3,2.9,6400
Jaylen Warren ,RB,PIT,NE,12.3,2.0,18,2.9,6200
Tony Pollard ,RB,TEN,IND,13.1,2.2,17,2.8,6100
Terry McLaurin ,WR,WAS,LV,13.1,2.0,18.4,2.8,6600
Courtland Sutton ,WR,DEN,LAC,9.9,1.5,18.5,2.8,6500
Marvin Harrison J... ,WR,ARI,SF,10.7,1.7,18.2,2.8,6400
Omarion Hampton ,RB,LAC,DEN,10.7,1.8,17.5,2.9,6000
Brock Bowers,TE,LV,WAS,11.6,1.6,21,2.8,7400
Rhamondre Stevens...,RB,NE,PIT,11.5,2.0,16.8,2.8,5900
Trey McBride ,TE,ARI,SF,11.5,1.6,20.4,2.9,7000
Rome Odunze,WR,CHI,DAL,12.2,1.9,18.8,2.9,6400
Jordan Mason ,RB,MIN,CIN,15.2,2.6,16.7,2.9,5800
Nick Chubb ,RB,HOU,JAX,12.4,2.2,16.1,2.8,5700
DJ Moore,WR,CHI,DAL,11.3,1.8,18.5,2.9,6300
Emeka Egbuka ,WR,TB,NYJ,11.3,1.8,18.7,3.0,6300
George Pickens,WR,DAL,CHI,11.2,1.8,18.4,3.0,6200
Jakobi Meyers,WR,LV,WAS,10.3,1.7,17.4,2.8,6200
Chris Olave,WR,NO,SEA,10.1,1.7,16.4,2.7,6100
DeVonta Smith ,WR,PHI,LAR,9.8,1.6,17.7,2.9,6100
Jauan Jennings ,WR,SF,ARI,10.8,1.8,17.4,2.9,6000
Keenan Allen ,WR,LAC,DEN,8.9,1.5,17.4,2.9,6000
Quinshon Judkins,RB,CLE,GB,9.3,1.7,15,2.7,5600
Tetairoa McMillan ,WR,CAR,ATL,11.6,1.9,16.2,2.7,6000
Cooper Kupp ,WR,SEA,NO,8.5,1.4,17.1,2.9,5900
Romeo Doubs,WR,GB,CLE,7.8,1.3,17.1,2.9,5900
Stefon Diggs,WR,NE,PIT,9.1,1.5,16.5,2.8,5900
GB,DEF,GB,CLE,8.5,1.7,12.14,2.4,5000
Jacory Croskey-Me... ,RB,WAS,LV,11.8,2.1,16,2.9,5500
Tucker Kraft,TE,GB,CLE,9.7,1.5,19.6,3.0,6500
MIN,DEF,MIN,CIN,8.0,1.9,11.77,2.8,4200
T.J. Hockenson ,TE,MIN,CIN,8.2,1.4,17.1,2.9,5800
Darnell Mooney,WR,ATL,CAR,8.6,1.5,16.7,2.9,5800
Jerry Jeudy,WR,CLE,GB,10.8,1.9,15.4,2.7,5800
PHI,DEF,PHI,LAR,7.7,1.7,11.15,2.5,4500
Juwan Johnson,TE,NO,SEA,9.1,1.6,15.7,2.8,5700
Zach Charbonnet ,RB,SEA,NO,9.9,1.8,15.7,2.9,5400
Quentin Johnston ,WR,LAC,DEN,7.9,1.4,16.6,2.9,5800
Tyler Warren ,TE,IND,TEN,9.6,1.7,16.7,3.0,5600
ATL,DEF,ATL,CAR,7.2,1.9,10.76,2.8,3800
SEA,DEF,SEA,NO,7.4,1.5,10.67,2.2,4800
Dontayvion Wicks,WR,GB,CLE,5.2,0.9,14.4,2.5,5700
Dylan Sampson,RB,CLE,GB,7.2,1.3,14.5,2.7,5400
Matthew Golden,WR,GB,CLE,9.0,1.6,11.19,2.0,5700
IND,DEF,IND,TEN,7.3,1.5,10.53,2.2,4700
JAX,DEF,JAX,HOU,6.7,2.0,10.23,3.1,3300
Michael Pittman J... ,WR,IND,TEN,10.4,1.8,12.92,2.3,5700
David Njoku,TE,CLE,GB,7.2,1.3,15.1,2.7,5500
Rashid Shaheed,WR,NO,SEA,7.5,1.3,14.7,2.6,5600
Ricky Pearsall ,WR,SF,ARI,10.2,1.8,15.9,2.8,5600
WAS,DEF,WAS,LV,6.8,1.6,9.96,2.3,4400
Kyle Pitts Sr.,TE,ATL,CAR,7.6,1.4,16.1,3.0,5400
TB,DEF,TB,NYJ,6.7,1.7,9.85,2.5,4000
Travis Hunter ,WR,JAX,HOU,6.3,1.1,13.8,2.5,5600
PIT,DEF,PIT,NE,6.8,1.5,9.79,2.1,4600
Adam Thielen ,WR,MIN,CIN,6.7,1.2,15.3,2.8,5500
HOU,DEF,HOU,JAX,6.4,1.9,9.62,2.8,3400
Zach Ertz ,TE,WAS,LV,8.1,1.5,15.7,3.0,5300
Calvin Ridley ,WR,TEN,IND,9.9,1.8,14.4,2.6,5500
Cedric Tillman,WR,CLE,GB,8.0,1.5,14.4,2.6,5500
Dallas Goedert ,TE,PHI,LAR,6.8,1.3,15.7,3.0,5300
DAL,DEF,DAL,CHI,6.0,1.9,9.19,2.9,3200
Tyler Allgeier,RB,ATL,CAR,7.0,1.3,15.4,2.9,5300
Najee Harris ,RB,LAC,DEN,6.1,1.1,14.2,2.7,5300
Jake Ferguson,TE,DAL,CHI,8.8,1.7,15.7,3.0,5200
Hunter Renfrow ,WR,CAR,ATL,5.4,1.0,14,2.6,5400
TreVeyon Henderson,RB,NE,PIT,8.7,1.7,14,2.7,5200
Harold Fannin Jr.,TE,CLE,GB,7.3,1.4,14,2.7,5200
Rachaad White ,RB,TB,NYJ,7.4,1.4,14.2,2.7,5200
LAC,DEF,LAC,DEN,5.8,1.7,8.7,2.5,3500
CIN,DEF,CIN,MIN,5.7,1.6,8.55,2.4,3500
Jonnu Smith ,TE,PIT,NE,6.5,1.3,14.9,2.9,5100
Bhayshul Tuten ,RB,JAX,HOU,6.4,1.2,14.8,2.8,5200
Josh Downs ,WR,IND,TEN,7.9,1.5,15.2,2.8,5400
Tre Tucker,WR,LV,WAS,4.9,0.9,14.6,2.7,5400
Cade Otton ,TE,TB,NYJ,5.6,1.1,15.3,3.0,5100
NO,DEF,NO,SEA,5.4,1.7,8.28,2.6,3200
DEN,DEF,DEN,LAC,5.6,1.3,8.19,1.9,4300
Alec Pierce ,WR,IND,TEN,5.9,1.1,14.9,2.8,5300
Brenton Strange ,TE,JAX,HOU,6.2,1.2,14.5,2.9,5000
NE,DEF,NE,PIT,5.3,1.5,7.94,2.2,3600
LAR,DEF,LAR,PHI,5.3,1.4,7.93,2.0,3900
SF,DEF,SF,ARI,5.4,1.3,7.9,1.9,4100
Pat Freiermuth ,TE,PIT,NE,5.5,1.1,14.5,2.9,5000
ARI,DEF,ARI,SF,5.2,1.5,7.82,2.3,3400
NYJ,DEF,NYJ,TB,5.1,1.6,7.82,2.4,3300
KaVontae Turpin,WR,DAL,CHI,6.1,1.2,14.0,2.6,5300
Kayshon Boutte,WR,NE,PIT,5.9,1.1,14.5,2.7,5300
Trey Benson ,RB,ARI,SF,7.3,1.4,11,2.2,5100
Brian Robinson Jr. ,RB,WAS,LV,6.4,1.2,7.75,1.5,5100
RJ Harvey ,RB,DEN,LAC,6.2,1.2,7.52,1.5,5100
CAR,DEF,CAR,ATL,5.0,1.7,7.7,2.6,3000
LV,DEF,LV,WAS,5.0,1.6,7.7,2.5,3100
Calvin Austin III ,WR,PIT,NE,7.5,1.5,14.4,2.8,5200
Noah Fant ,TE,CIN,MIN,4.1,0.8,14,2.8,5000
CHI,DEF,CHI,DAL,5.1,1.4,7.63,2.1,3700
Dalton Schultz ,TE,HOU,JAX,6.4,1.3,13.9,2.8,4900
TEN,DEF,TEN,IND,4.9,1.6,7.55,2.4,3100
Kenneth Gainwell ,RB,PIT,NE,7.3,1.5,8.95,1.8,5000
Ray-Ray McCloud I...,WR,ATL,CAR,4.9,0.9,14.6,2.8,5200
Troy Franklin ,WR,DEN,LAC,6.7,1.3,14.1,2.7,5200
Jeremy McNichols ,RB,WAS,LV,6.4,1.3,7.75,1.6,5000
Jerome Ford,RB,CLE,GB,5.7,1.2,12.8,2.6,4900
Michael Mayer,TE,LV,WAS,3.6,0.7,13.8,2.8,4900
Elic Ayomanor ,WR,TEN,IND,6.2,1.2,13.7,2.7,5100
Jayden Higgins ,WR,HOU,JAX,4.8,0.9,12.8,2.5,5100
Kyle Monangai,RB,CHI,DAL,5.3,1.1,6.52,1.3,4900
Luke Farrell ,TE,SF,ARI,2.5,0.5,14.3,2.9,4900
CLE,DEF,CLE,GB,4.3,1.4,6.65,2.2,3000
Marvin Mims Jr. ,WR,DEN,LAC,5.1,1.0,12.0,2.4,5100
Miles Sanders,RB,DAL,CHI,5.5,1.2,6.78,1.4,4800
Hunter Henry,TE,NE,PIT,7.7,1.6,13.6,2.8,4800
Christian Kirk ,WR,HOU,JAX,8.1,1.6,13.4,2.7,5000
Rico Dowdle ,RB,CAR,ATL,5.1,1.1,6.26,1.3,4700
Tank Bigsby ,RB,JAX,HOU,5.1,1.1,6.3,1.4,4600
Dyami Brown ,WR,JAX,HOU,7.0,1.4,13,2.6,5000
Michael Wilson ,WR,ARI,SF,5.5,1.1,6.9,1.4,5000
Olamide Zaccheaus,WR,CHI,DAL,4.7,0.9,13.9,2.8,5000
Dont'e Thornton J...,WR,LV,WAS,4.9,1.0,13.0,2.6,4900
Jalen Nailor ,WR,MIN,CIN,6.4,1.3,11,2.2,4900
Jalen Tolbert,WR,DAL,CHI,4.3,0.9,13,2.7,4900
Cole Kmet,TE,CHI,DAL,5.3,1.1,14,2.9,4800
Sterling Shepard ,WR,TB,NYJ,4.9,1.0,13.7,2.8,4900
Andrei Iosivas ,WR,CIN,MIN,4.0,0.8,12.5,2.6,4800
Jake Tonges ,TE,SF,ARI,3.3,0.7,14,2.9,4800
Devaughn Vele,WR,NO,SEA,2.4,0.5,3.03,0.6,4800
Devaughn Vele ,WR,DEN,LAC,2.3,0.5,2.88,0.6,4800
Evan Engram,TE,DEN,LAC,11.0,2.3,13.6,2.8,4800
Tyler Lockett ,WR,TEN,IND,9.0,1.9,12.3,2.6,4800
Chig Okonkwo ,TE,TEN,IND,6.9,1.5,12.9,2.7,4700
Jahan Dotson ,WR,PHI,LAR,2.8,0.6,12,2.6,4700
Tyler Higbee ,TE,LAR,PHI,4.7,1.0,13.1,2.8,4700
Tyler Conklin ,TE,LAC,DEN,3.1,0.7,13.6,2.9,4700
Ja'Tavion Sanders ,TE,CAR,ATL,6.2,1.3,7.63,1.7,4600
Kendrick Bourne,WR,NE,PIT,9.7,2.1,12.4,2.6,4700
AJ Barner ,TE,SEA,NO,3.9,0.9,4.86,1.1,4600
Parker Washington ,WR,JAX,HOU,2.0,0.4,2.56,0.5,4700
Mason Taylor ,TE,NYJ,TB,4.1,0.9,5.13,1.1,4500
Xavier Legette ,WR,CAR,ATL,8.0,1.7,12,2.6,4700
Mike Gesicki ,TE,CIN,MIN,3.3,0.7,4.03,0.9,4500
DeMario Douglas,WR,NE,PIT,9.0,2.0,12,2.6,4600
Jordan Whittington ,WR,LAR,PHI,2.6,0.6,3.26,0.7,4600
Tory Horton ,WR,SEA,NO,3.7,0.8,4.66,1.0,4600
Tyler Johnson ,WR,NYJ,TB,4.0,0.9,9,2.0,4600
Adonai Mitchell ,WR,IND,TEN,9.4,2.1,12.0,2.7,4500
Colston Loveland,TE,CHI,DAL,2.2,0.5,2.74,0.6,4500
Brandin Cooks,WR,NO,SEA,2.3,0.5,9,2.0,4500
Luther Burden III,WR,CHI,DAL,2.0,0.4,10,2.2,4500
Tutu Atwell ,WR,LAR,PHI,1.6,0.3,11.5,2.6,4500
Xavier Hutchinson ,WR,HOU,JAX,2.0,0.4,11.6,2.6,4500
Marquez Valdes-Sc... ,WR,SEA,NO,2.8,0.6,11.5,2.6,4400
Austin Hooper,TE,NE,PIT,1.9,0.4,2.34,0.5,4400
Jaylin Lane ,WR,WAS,LV,1.9,0.4,11,2.6,4300
Adam Trautman ,TE,DEN,LAC,2.7,0.6,3.37,0.8,4300
Elijah Arroyo ,TE,SEA,NO,2.0,0.5,2.43,0.6,4300
Luke Musgrave,TE,GB,CLE,1.8,0.4,2.27,0.5,4300
Tez Johnson ,WR,TB,NYJ,1.5,0.3,8,1.9,4300
Tre' Harris ,WR,LAC,DEN,1.6,0.4,9,2.1,4300
Elijah Higgins ,TE,ARI,SF,1.6,0.4,1.94,0.5,4300
Jeremy Ruckert ,TE,NYJ,TB,1.6,0.4,1.94,0.5,4300
Jamari Thrash,WR,CLE,GB,2.0,0.5,8,1.9,4200
Gunnar Helm ,TE,TEN,IND,1.6,0.4,2.03,0.5,4200
